TIME;JPN_inflation;USA_inflation;OECD_inflation;EU19_inflation;AUS_shareprice;CAN_shareprice;JPN_shareprice;USA_shareprice;EU19_shareprice;AUS_m1;JPN_m1;USA_m1;OECD_m1;EA19_m1
Jan-93;1.3;3.258508;4.811675;1.6;27.97681;23.05216;82.36322;23.73477;28.30943;8.613997;25.06713;34.09954;15.09149;18.68263
Feb-93;1.4;3.246753;4.780497;1.8;28.9964;24.07189;83.41331;24.10519;29.99915;8.760245;25.08415;34.20213;15.20865;18.00406
Mar-93;1.2;3.086863;4.646151;1.7;30.29091;25.12321;87.79287;24.5713;31.13988;8.906493;25.13989;34.36429;15.3241;17.95495
Apr-93;0.9;3.225806;4.631979;1.6;30.85897;26.42713;100.3417;24.23496;31.1218;9.045428;25.27317;34.66875;15.46957;18.04393
May-93;0.9;3.221188;4.657243;1.8;30.89174;27.07759;104.4015;24.36321;30.74761;9.169739;25.60391;35.27436;15.76097;18.17636
Jun-93;0.9;2.99572;4.611157;1.6;31.35056;27.66124;104.0915;24.47691;31.35058;9.345236;25.5628;35.57882;15.90796;18.49339
Jul-93;1.9;2.775801;4.784808;1.2;32.64507;27.66724;104.4931;24.54492;32.69098;9.462234;25.64155;35.89321;16.0194;18.59723
Aug-93;1.9;2.76792;4.762543;1.2;34.39294;28.85504;107.4486;24.94888;35.19073;9.374486;25.65147;36.2109;16.17459;18.39609
Sep-93;1.5;2.689313;4.601263;1.2;34.61324;27.83029;107.0857;25.23904;35.1194;9.411048;25.58021;36.54184;16.32009;18.46058
Oct-93;1.3;2.750353;4.579489;1.5;36.42848;29.6779;105.9963;25.5033;36.2457;9.615795;25.68842;36.83637;16.46344;18.69838
Nov-93;0.9;2.676056;4.469679;1.5;36.69066;29.15255;98.27892;25.34482;36.08109;9.762043;25.78374;37.2004;16.61173;19.05738
Dec-93;1;2.748414;4.512247;1.5;36.88183;30.13741;93.00914;25.52289;37.67854;9.93754;26.04568;37.38242;16.75724;19.86814
Jan-94;1.2;2.524544;4.25833;1.4;39.25784;31.76527;97.83155;25.95653;38.94068;10.13497;26.19069;37.4486;16.89808;19.99541
Feb-94;1.1;2.515723;4.254799;1.3;39.67113;30.85161;102.7964;25.94262;39.33017;10.29585;26.39266;37.60414;17.05985;19.52721
Mar-94;1.3;2.506964;4.247471;1.1;37.80674;30.19453;104.3487;25.48287;38.3731;10.47134;26.58223;37.7299;17.14558;19.56179
Apr-94;0.8;2.361111;4.60868;1;36.46307;29.75865;103.6673;24.55667;38.96793;10.60297;26.753;37.76299;17.2212;19.70682
May-94;0.8;2.288488;4.741904;0.9;36.56503;30.17465;105.8481;24.7144;39.08842;10.6834;26.83074;37.8358;17.36866;19.74716
Jun-94;0.6;2.493075;4.766684;0.8;36.09347;28.07187;108.5548;24.87754;36.54196;10.80771;26.83271;37.89867;17.46186;19.99256
Jul-94;-0.2;2.770083;4.752437;0.9;35.72023;29.1439;106.5558;24.68769;36.657;10.89546;27.00381;38.08069;17.60704;20.13754
Aug-94;0;2.900553;4.894709;0.8;36.77441;30.33317;106.2439;25.36024;37.71161;10.93934;27.15569;38.07738;17.74467;19.8646
Sep-94;0.2;2.963474;4.963564;1;36.31924;30.36581;102.4632;25.51085;36.72633;11.00515;27.30996;38.1204;17.84147;19.80655
Oct-94;0.7;2.608099;4.90937;1.1;35.42709;29.92973;101.9275;25.27446;35.47495;11.07827;27.29626;38.06414;17.87589;19.96502
Nov-94;1;2.674897;5.047314;1;34.23272;28.54721;98.35498;25.00329;35.99727;11.10021;27.18553;38.08731;17.91804;20.12331
